/home/dumball/code/new/lib/python3.11/site-packages/torch/nn/modules/loss.py:536: UserWarning: Using a target size (torch.Size([32, 1])) that is different to the input size (torch.Size([32, 2])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
/home/dumball/code/new/lib/python3.11/site-packages/torch/nn/modules/loss.py:536: UserWarning: Using a target size (torch.Size([4, 1])) that is different to the input size (torch.Size([4, 2])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Epoch: 1/10, Step: 1/4, Loss: 0.9093
Epoch: 2/10, Step: 1/4, Loss: 1.5688
Epoch: 3/10, Step: 1/4, Loss: 1.0646
Epoch: 4/10, Step: 1/4, Loss: 1.1931
Epoch: 5/10, Step: 1/4, Loss: 1.3295
Epoch: 6/10, Step: 1/4, Loss: 0.9799
Epoch: 7/10, Step: 1/4, Loss: 1.1518
Epoch: 8/10, Step: 1/4, Loss: 1.2312
Epoch: 9/10, Step: 1/4, Loss: 1.2788
Epoch: 10/10, Step: 1/4, Loss: 1.1044
Epoch: 11/10, Step: 1/4, Loss: 1.3936
Epoch: 12/10, Step: 1/4, Loss: 1.7889
Epoch: 13/10, Step: 1/4, Loss: 1.5666
Epoch: 14/10, Step: 1/4, Loss: 1.3796
Epoch: 15/10, Step: 1/4, Loss: 1.5447
Epoch: 16/10, Step: 1/4, Loss: 1.1034
Epoch: 17/10, Step: 1/4, Loss: 1.4063
Epoch: 18/10, Step: 1/4, Loss: 1.8175
Epoch: 19/10, Step: 1/4, Loss: 1.7106
Epoch: 20/10, Step: 1/4, Loss: 1.8400
Epoch: 21/10, Step: 1/4, Loss: 1.3075
Epoch: 22/10, Step: 1/4, Loss: 1.6915
Epoch: 23/10, Step: 1/4, Loss: 1.3834
Epoch: 24/10, Step: 1/4, Loss: 0.8800
Epoch: 25/10, Step: 1/4, Loss: 1.0326
Epoch: 26/10, Step: 1/4, Loss: 1.1118
Epoch: 27/10, Step: 1/4, Loss: 1.2244
Epoch: 28/10, Step: 1/4, Loss: 1.0512
Epoch: 29/10, Step: 1/4, Loss: 1.8198
Epoch: 30/10, Step: 1/4, Loss: 1.2555
Epoch: 31/10, Step: 1/4, Loss: 1.5016
Epoch: 32/10, Step: 1/4, Loss: 1.1546
Epoch: 33/10, Step: 1/4, Loss: 0.8897
