/home/dumball/code/new/lib/python3.11/site-packages/torch/nn/modules/loss.py:536: UserWarning: Using a target size (torch.Size([32, 1])) that is different to the input size (torch.Size([32, 2])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
/home/dumball/code/new/lib/python3.11/site-packages/torch/nn/modules/loss.py:536: UserWarning: Using a target size (torch.Size([4, 1])) that is different to the input size (torch.Size([4, 2])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Epoch: 1/10, Step: 1/4, Loss: 1.3786
Epoch: 2/10, Step: 1/4, Loss: 1.4581
Epoch: 3/10, Step: 1/4, Loss: 1.1906
Epoch: 4/10, Step: 1/4, Loss: 1.3151
Epoch: 5/10, Step: 1/4, Loss: 1.2149
Epoch: 6/10, Step: 1/4, Loss: 1.1034
Epoch: 7/10, Step: 1/4, Loss: 1.3331
Epoch: 8/10, Step: 1/4, Loss: 1.3159
Epoch: 9/10, Step: 1/4, Loss: 1.2494
Epoch: 10/10, Step: 1/4, Loss: 1.2365
Epoch: 11/10, Step: 1/4, Loss: 1.2759
Epoch: 12/10, Step: 1/4, Loss: 1.3988
Epoch: 13/10, Step: 1/4, Loss: 1.5394
Epoch: 14/10, Step: 1/4, Loss: 1.6396
Epoch: 15/10, Step: 1/4, Loss: 1.0246
Epoch: 16/10, Step: 1/4, Loss: 1.1986
Epoch: 17/10, Step: 1/4, Loss: 1.0972
Epoch: 18/10, Step: 1/4, Loss: 1.0301
Epoch: 19/10, Step: 1/4, Loss: 1.2248
Epoch: 20/10, Step: 1/4, Loss: 1.3293
Epoch: 21/10, Step: 1/4, Loss: 0.8439
Epoch: 22/10, Step: 1/4, Loss: 1.4094
Epoch: 23/10, Step: 1/4, Loss: 0.8403
Epoch: 24/10, Step: 1/4, Loss: 1.4011
Epoch: 25/10, Step: 1/4, Loss: 1.4194
Epoch: 26/10, Step: 1/4, Loss: 1.2680
Epoch: 27/10, Step: 1/4, Loss: 1.2908
Epoch: 28/10, Step: 1/4, Loss: 1.4523
Epoch: 29/10, Step: 1/4, Loss: 1.2611
Epoch: 30/10, Step: 1/4, Loss: 1.0494
Epoch: 31/10, Step: 1/4, Loss: 0.9971
Epoch: 32/10, Step: 1/4, Loss: 1.4143
Epoch: 33/10, Step: 1/4, Loss: 1.0270
