/home/dumball/code/new/lib/python3.11/site-packages/torch/nn/modules/loss.py:536: UserWarning: Using a target size (torch.Size([32, 1])) that is different to the input size (torch.Size([32, 2])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
/home/dumball/code/new/lib/python3.11/site-packages/torch/nn/modules/loss.py:536: UserWarning: Using a target size (torch.Size([4, 1])) that is different to the input size (torch.Size([4, 2])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)
Epoch: 1/10, Step: 1/4, Loss: 1.4635
Epoch: 2/10, Step: 1/4, Loss: 1.3147
Epoch: 3/10, Step: 1/4, Loss: 1.0956
Epoch: 4/10, Step: 1/4, Loss: 0.9850
Epoch: 5/10, Step: 1/4, Loss: 0.9861
Epoch: 6/10, Step: 1/4, Loss: 1.3543
Epoch: 7/10, Step: 1/4, Loss: 1.1692
Epoch: 8/10, Step: 1/4, Loss: 1.3023
Epoch: 9/10, Step: 1/4, Loss: 0.6801
Epoch: 10/10, Step: 1/4, Loss: 1.3844
Epoch: 11/10, Step: 1/4, Loss: 1.2325
Epoch: 12/10, Step: 1/4, Loss: 1.5817
Epoch: 13/10, Step: 1/4, Loss: 0.8512
Epoch: 14/10, Step: 1/4, Loss: 0.9669
Epoch: 15/10, Step: 1/4, Loss: 0.9349
Epoch: 16/10, Step: 1/4, Loss: 1.1609
Epoch: 17/10, Step: 1/4, Loss: 1.2674
Epoch: 18/10, Step: 1/4, Loss: 0.7551
Epoch: 19/10, Step: 1/4, Loss: 1.3475
Epoch: 20/10, Step: 1/4, Loss: 1.3266
Epoch: 21/10, Step: 1/4, Loss: 1.3342
Epoch: 22/10, Step: 1/4, Loss: 0.7114
Epoch: 23/10, Step: 1/4, Loss: 1.1305
Epoch: 24/10, Step: 1/4, Loss: 1.2369
Epoch: 25/10, Step: 1/4, Loss: 1.2226
Epoch: 26/10, Step: 1/4, Loss: 0.8952
Epoch: 27/10, Step: 1/4, Loss: 1.1172
Epoch: 28/10, Step: 1/4, Loss: 0.9874
Epoch: 29/10, Step: 1/4, Loss: 1.0807
Epoch: 30/10, Step: 1/4, Loss: 1.1374
Epoch: 31/10, Step: 1/4, Loss: 1.2572
Epoch: 32/10, Step: 1/4, Loss: 1.0811
Epoch: 33/10, Step: 1/4, Loss: 0.9645
